Date,Open,High,Low,Close,Volume
23-Jun-17,15.15,15.2,14.95,15,"11,806,000"
22-Jun-17,14.7,15.3,14.6,15.15,"24,137,000"
21-Jun-17,14.45,14.65,14.45,14.6,"8,535,000"
20-Jun-17,14.6,14.6,14.45,14.45,"5,472,000"
19-Jun-17,14.5,14.6,14.4,14.55,"6,576,000"
16-Jun-17,14.7,14.7,14.5,14.5,"7,037,000"
15-Jun-17,14.6,14.7,14.5,14.6,"4,910,000"
14-Jun-17,14.95,14.95,14.35,14.55,"11,738,000"
13-Jun-17,14.75,14.95,14.7,14.9,"12,964,000"
12-Jun-17,14.6,14.8,14.55,14.7,"7,696,000"
9-Jun-17,14.65,14.7,14.5,14.55,"4,854,000"
8-Jun-17,14.55,14.65,14.5,14.6,"4,213,000"
7-Jun-17,14.55,14.6,14.5,14.5,"3,074,000"
6-Jun-17,14.65,14.65,14.55,14.55,"2,926,000"
5-Jun-17,14.7,14.75,14.55,14.65,"3,463,000"
2-Jun-17,14.6,14.65,14.55,14.65,"3,230,000"
1-Jun-17,14.7,14.7,14.55,14.55,"3,748,000"
31-May-17,14.75,14.8,14.55,14.7,"8,230,000"
26-May-17,14.7,14.85,14.7,14.75,"10,954,000"
25-May-17,14.4,14.55,14.35,14.55,"5,854,000"
24-May-17,14.4,14.45,14.35,14.4,"6,054,000"
23-May-17,14.35,14.45,14.35,14.4,"4,710,000"
22-May-17,14.5,14.5,14.3,14.35,"11,622,000"
19-May-17,14.6,14.6,14.5,14.55,"5,599,000"
18-May-17,14.5,14.65,14.45,14.65,"4,200,000"
17-May-17,14.65,14.65,14.55,14.55,"5,635,000"
16-May-17,14.55,14.7,14.5,14.7,"9,609,000"
15-May-17,14.75,14.8,14.5,14.65,"14,240,000"
12-May-17,14.85,15.1,14.85,14.95,"3,910,000"
11-May-17,14.95,14.95,14.75,14.85,"3,062,000"
10-May-17,14.75,15,14.7,14.9,"3,601,000"
9-May-17,14.75,14.85,14.7,14.75,"4,915,000"
8-May-17,15.1,15.1,14.65,14.8,"6,007,000"
5-May-17,15.1,15.1,15,15.05,"9,929,000"
4-May-17,14.85,14.95,14.85,14.95,"2,860,000"
3-May-17,14.85,14.9,14.8,14.85,"3,505,000"
2-May-17,14.9,14.9,14.7,14.85,"5,332,000"
28-Apr-17,14.9,15.1,14.8,14.85,"4,595,000"
27-Apr-17,14.95,15,14.75,14.85,"2,823,000"
26-Apr-17,15.05,15.05,14.9,15,"4,114,000"
25-Apr-17,14.85,15.05,14.75,15.05,"6,396,000"
24-Apr-17,14.8,14.85,14.65,14.8,"2,895,000"
21-Apr-17,14.7,14.75,14.65,14.7,"2,376,000"
20-Apr-17,14.7,14.7,14.6,14.6,"4,217,000"
19-Apr-17,14.8,14.85,14.6,14.65,"5,853,000"
18-Apr-17,14.75,14.9,14.7,14.9,"5,267,000"
17-Apr-17,14.8,14.85,14.55,14.6,"9,614,000"
14-Apr-17,14.75,14.95,14.7,14.75,"10,992,000"
13-Apr-17,14.9,15,14.75,14.75,"9,209,000"
12-Apr-17,14.95,15,14.8,14.9,"5,971,000"
11-Apr-17,14.8,15,14.8,14.95,"7,770,000"
10-Apr-17,14.9,14.95,14.7,14.75,"7,681,000"
7-Apr-17,14.95,15.1,14.9,14.9,"11,635,000"
6-Apr-17,15.2,15.2,14.9,14.9,"22,919,000"
5-Apr-17,15.85,15.9,15.2,15.2,"30,071,000"
31-Mar-17,16.1,16.15,16,16.1,"6,239,000"
30-Mar-17,16.15,16.15,16,16.1,"10,677,000"
29-Mar-17,16.4,16.4,16.15,16.3,"6,724,000"
28-Mar-17,16.2,16.35,16,16.3,"11,076,000"
27-Mar-17,16.35,16.35,16.15,16.15,"8,418,000"
24-Mar-17,16.5,16.5,16.2,16.35,"6,876,000"
23-Mar-17,16.4,16.55,16.3,16.4,"6,081,000"
22-Mar-17,16.25,16.4,16.2,16.4,"9,144,000"
21-Mar-17,16.75,16.75,16.4,16.4,"12,294,000"
20-Mar-17,16.6,16.95,16.45,16.75,"21,970,000"
17-Mar-17,16.3,16.5,16.3,16.5,"17,200,000"
16-Mar-17,16.25,16.3,16.15,16.25,"15,124,000"
15-Mar-17,16.35,16.4,16.15,16.3,"20,125,000"
14-Mar-17,16.3,16.6,16.2,16.5,"74,484,000"
13-Mar-17,15.5,16,15.45,15.95,"39,060,000"
10-Mar-17,15.4,15.45,15.05,15.4,"10,543,000"
9-Mar-17,15.3,15.6,15.3,15.3,"9,418,000"
8-Mar-17,15.35,15.4,15.3,15.3,"3,671,000"
7-Mar-17,15.35,15.5,15.3,15.35,"5,596,000"
6-Mar-17,15.5,15.55,15.4,15.4,"3,303,000"
3-Mar-17,15.45,15.55,15.35,15.5,"6,104,000"
2-Mar-17,15.45,15.55,15.3,15.35,"6,344,000"
1-Mar-17,15.35,15.5,15.25,15.3,"7,845,000"
24-Feb-17,15.45,15.5,15.25,15.25,"8,539,000"
23-Feb-17,15.6,15.65,15.45,15.45,"5,293,000"
22-Feb-17,15.6,15.85,15.5,15.6,"8,238,000"
21-Feb-17,15.8,15.8,15.35,15.6,"14,119,000"
