Date,Open,High,Low,Close,Volume
23-Jun-17,109.50,109.98,109.47,109.98,23837010
22-Jun-17,109.15,109.50,108.99,109.50,3156790
21-Jun-17,109.02,109.22,108.88,109.17,2796616
20-Jun-17,109.05,109.86,108.97,109.00,3010801
19-Jun-17,109.00,109.28,108.90,109.15,1809030
16-Jun-17,109.00,109.40,108.84,109.09,2075727
15-Jun-17,108.78,109.11,108.75,109.00,1315681
14-Jun-17,108.96,109.42,108.65,109.27,2478030
13-Jun-17,108.45,109.11,108.32,109.11,1959082
12-Jun-17,108.91,108.91,108.00,108.22,2889858
9-Jun-17,109.23,109.50,108.17,108.58,4308663
8-Jun-17,109.07,109.40,108.92,109.23,2064827
7-Jun-17,108.85,109.32,108.81,109.21,2903193
6-Jun-17,109.22,109.35,108.84,108.85,2724684
5-Jun-17,109.00,109.32,109.00,109.22,2537372
2-Jun-17,109.20,109.35,108.86,109.15,3789013
1-Jun-17,109.64,109.71,109.00,109.32,7466143
31-May-17,109.05,109.90,108.98,109.90,12507064
30-May-17,107.91,108.21,107.91,108.14,2111928
26-May-17,107.89,108.24,107.89,108.00,2620593
25-May-17,108.00,108.15,107.80,107.95,3058752
24-May-17,108.11,108.29,107.84,108.00,3686014
23-May-17,107.96,108.20,107.96,108.09,2996502
22-May-17,107.87,108.24,107.75,108.17,3259410
19-May-17,107.45,107.82,107.45,107.75,2773353
18-May-17,107.28,107.50,107.14,107.27,3252767
17-May-17,107.26,107.83,107.25,107.39,5324608
16-May-17,106.97,107.76,106.93,107.70,6256903
15-May-17,106.78,107.20,106.67,107.04,1854824
12-May-17,106.77,106.91,106.50,106.87,4860589
11-May-17,106.55,106.94,106.40,106.86,2924493
10-May-17,106.72,106.89,106.58,106.68,3242967
9-May-17,106.66,107.02,106.65,106.77,2152035
8-May-17,106.53,106.97,106.45,106.90,2710936
5-May-17,106.57,106.96,106.38,106.58,2512702
4-May-17,105.76,106.97,105.73,106.78,4468089
